country,year,fneo10
afg,2000,0.267184317111969
afg,2001,0.260677695274353
afg,2002,0.25110313296318054
afg,2003,0.24241876602172852
afg,2004,0.23416763544082642
afg,2005,0.23114803433418274
afg,2006,0.23585373163223267
afg,2007,0.24568699300289154
afg,2008,0.2542605400085449
afg,2009,0.26331058144569397
afg,2010,0.2763966917991638
afg,2011,0.2909693717956543
afg,2012,0.30008116364479065
afg,2013,0.3022780120372772
afg,2014,0.3012353479862213
afg,2015,0.30168217420578003
afg,2016,0.304145872592926
afg,2017,0.304145872592926
ago,2000,0.2887299358844757
ago,2001,0.2912570834159851
ago,2002,0.2926144301891327
ago,2003,0.29185765981674194
ago,2004,0.29041725397109985
ago,2005,0.28889259696006775
ago,2006,0.2886536121368408
ago,2007,0.28670695424079895
ago,2008,0.2850821614265442
ago,2009,0.2848317623138428
ago,2010,0.2895122766494751
ago,2011,0.29299667477607727
ago,2012,0.29279232025146484
ago,2013,0.2878839671611786
ago,2014,0.2817070484161377
ago,2015,0.27717700600624084
ago,2016,0.273134708404541
ago,2017,0.273134708404541
alb,2000,0.4388507902622223
alb,2001,0.4338216781616211
alb,2002,0.42938315868377686
alb,2003,0.42509129643440247
alb,2004,0.4199974536895752
alb,2005,0.4159901738166809
alb,2006,0.41280823945999146
alb,2007,0.4104010760784149
alb,2008,0.40852949023246765
alb,2009,0.40736570954322815
alb,2010,0.40710821747779846
alb,2011,0.40758249163627625
alb,2012,0.40802252292633057
alb,2013,0.40828263759613037
alb,2014,0.4087083339691162
alb,2015,0.4088895618915558
alb,2016,0.4088224172592163
alb,2017,0.4088224172592163
and,2000,1.0
and,2001,1.0
and,2002,1.0
and,2003,1.0
and,2004,1.0
and,2005,1.0
and,2006,1.0
and,2007,1.0
and,2008,1.0
and,2009,1.0
and,2010,1.0
and,2011,1.0
and,2012,1.0
and,2013,1.0
and,2014,1.0
and,2015,1.0
and,2016,1.0
and,2017,1.0
are,2000,0.37666890025138855
are,2001,0.3812384605407715
are,2002,0.386093407869339
are,2003,0.39098992943763733
are,2004,0.39558127522468567
are,2005,0.40009984374046326
are,2006,0.40379616618156433
are,2007,0.4067288935184479
are,2008,0.40889424085617065
are,2009,0.41002392768859863
are,2010,0.41080987453460693
are,2011,0.41153526306152344
are,2012,0.41255566477775574
are,2013,0.41349953413009644
are,2014,0.4142235517501831
are,2015,0.4145455062389374
are,2016,0.41465869545936584
are,2017,0.4146587550640106
arg,2000,0.46124961972236633
arg,2001,0.46799713373184204
arg,2002,0.45961666107177734
arg,2003,0.45710647106170654
arg,2004,0.46073752641677856
arg,2005,0.46170496940612793
arg,2006,0.454914391040802
arg,2007,0.46048474311828613
arg,2008,0.46347227692604065
arg,2009,0.45213523507118225
arg,2010,0.446541965007782
arg,2011,0.4485468566417694
arg,2012,0.4382235109806061
arg,2013,0.46788129210472107
arg,2014,0.4405360221862793
arg,2015,0.4487745761871338
arg,2016,0.44877463579177856
arg,2017,0.4487745463848114
arm,2000,0.4493919014930725
arm,2001,0.4440549314022064
arm,2002,0.43925729393959045
arm,2003,0.4350411891937256
arm,2004,0.4313403367996216
arm,2005,0.4280322194099426
arm,2006,0.42546477913856506
arm,2007,0.4229133427143097
arm,2008,0.42046788334846497
arm,2009,0.41768065094947815
arm,2010,0.4151058793067932
arm,2011,0.4124789834022522
arm,2012,0.41097062826156616
arm,2013,0.409574031829834
arm,2014,0.4087349474430084
arm,2015,0.4077649414539337
arm,2016,0.4070672392845154
arm,2017,0.4070672392845154
atg,2000,0.44937053322792053
atg,2001,0.5429659485816956
atg,2002,0.5171872973442078
atg,2003,0.4885398745536804
atg,2004,0.4006791114807129
atg,2005,0.6266427636146545
atg,2006,0.44925031065940857
atg,2007,0.35927286744117737
atg,2008,0.21377995610237122
atg,2009,0.26091268658638
atg,2010,0.31801995635032654
atg,2011,0.40074074268341064
atg,2012,0.4138486385345459
atg,2013,0.36742421984672546
atg,2014,0.3194444477558136
atg,2015,0.31442901492118835
atg,2016,0.33813655376434326
atg,2017,0.31828704476356506
aus,2000,0.2343934029340744
aus,2001,0.2283737063407898
aus,2002,0.23038606345653534
aus,2003,0.20519161224365234
aus,2004,0.31186872720718384
aus,2005,0.34575387835502625
aus,2006,0.37914109230041504
aus,2007,0.3030303120613098
aus,2008,0.2770935595035553
aus,2009,0.27893516421318054
aus,2010,0.2970297038555145
aus,2011,0.3070967495441437
aus,2012,0.2875722348690033
aus,2013,0.30094465613365173
aus,2014,0.3265624940395355
aus,2015,0.313043475151062
aus,2016,0.3134765625
aus,2017,0.3134765625
aut,2000,0.3840000033378601
aut,2001,0.41129034757614136
aut,2002,0.6651162505149841
aut,2003,0.6563876867294312
aut,2004,0.6244724988937378
aut,2005,0.6177777647972107
aut,2006,0.6842105388641357
aut,2007,0.5319148898124695
aut,2008,0.3799999952316284
aut,2009,0.3478260934352875
aut,2010,0.4223300814628601
aut,2011,0.32258060574531555
aut,2012,0.3085714280605316
aut,2013,0.3606557250022888
aut,2014,0.34408602118492126
aut,2015,0.36734694242477417
aut,2016,0.22499997913837433
aut,2017,0.22500000894069672
aze,2000,0.4393720030784607
aze,2001,0.4402362108230591
aze,2002,0.4383157789707184
aze,2003,0.43456584215164185
aze,2004,0.42933785915374756
aze,2005,0.4231319725513458
aze,2006,0.4172748029232025
aze,2007,0.4116440713405609
aze,2008,0.4062196612358093
aze,2009,0.4006560444831848
aze,2010,0.39469313621520996
aze,2011,0.38850849866867065
aze,2012,0.3823985159397125
aze,2013,0.3769993484020233
aze,2014,0.37278780341148376
aze,2015,0.3702815771102905
aze,2016,0.3689746856689453
aze,2017,0.3689746558666229
bdi,2000,0.3082977831363678
bdi,2001,0.29877322912216187
bdi,2002,0.28979799151420593
bdi,2003,0.28713253140449524
bdi,2004,0.29003459215164185
bdi,2005,0.29674091935157776
bdi,2006,0.303173303604126
bdi,2007,0.3030897080898285
bdi,2008,0.29740387201309204
bdi,2009,0.28984710574150085
bdi,2010,0.287997841835022
bdi,2011,0.2910230755805969
